temperature	xi	ne_viii	wavelength	opacity
0.524608492851	4.62650585175	ne_viii	780.324	5.4565e-17	
0.524608492851	4.66666650772	ne_viii	780.324	3.73572e-17	
0.524608492851	4.7068271637	ne_viii	780.324	2.55456e-17	
0.524608492851	4.74698781967	ne_viii	780.324	1.74388e-17	
0.524608492851	4.78714847565	ne_viii	780.324	1.18927e-17	
0.524608492851	4.82730913162	ne_viii	780.324	8.08154e-18	
0.524608492851	4.8674697876	ne_viii	780.324	5.4608e-18	
0.524608492851	4.90763044357	ne_viii	780.324	3.68814e-18	
0.524608492851	4.94779109955	ne_viii	780.324	2.48202e-18	
0.524608492851	4.98795175552	ne_viii	780.324	1.66981e-18	
0.524608492851	5.0281124115	ne_viii	780.324	1.12111e-18	
0.524608492851	5.06827306747	ne_viii	780.324	7.51005e-19	
0.524608492851	5.10843372345	ne_viii	780.324	5.00573e-19	
0.524608492851	5.14859437943	ne_viii	780.324	3.32665e-19	
0.524608492851	5.1887550354	ne_viii	780.324	2.20998e-19	
0.524608492851	5.22891569138	ne_viii	780.324	1.46569e-19	
0.524608492851	5.26907634735	ne_viii	780.324	9.71358e-20	
0.524608492851	5.30923700333	ne_viii	780.324	6.41217e-20	
0.524608492851	5.3493976593	ne_viii	780.324	4.22857e-20	
0.524608492851	5.38955831528	ne_viii	780.324	2.7789e-20	
0.524608492851	5.42971897125	ne_viii	780.324	1.824e-20	
0.524608492851	5.46987962723	ne_viii	780.324	0.0	
0.524608492851	5.5100402832	ne_viii	780.324	0.0	
0.524608492851	5.55020093918	ne_viii	780.324	0.0	
0.524608492851	5.59036159515	ne_viii	780.324	0.0	
0.524608492851	5.63052225113	ne_viii	780.324	0.0	
0.524608492851	5.6706829071	ne_viii	780.324	0.0	
0.524608492851	5.71084356308	ne_viii	780.324	0.0	
0.524608492851	5.75100421906	ne_viii	780.324	0.0	
0.524608492851	5.79116487503	ne_viii	780.324	0.0	
0.524608492851	5.83132553101	ne_viii	780.324	0.0	
0.524608492851	5.87148571014	ne_viii	780.324	0.0	
0.524608492851	5.91164636612	ne_viii	780.324	0.0	
0.524608492851	5.95180702209	ne_viii	780.324	0.0	
0.524608492851	5.99196767807	ne_viii	780.324	0.0	
0.524608492851	6.03212833405	ne_viii	780.324	0.0	
0.524608492851	6.07228899002	ne_viii	780.324	0.0	
0.524608492851	6.112449646	ne_viii	780.324	0.0	
