temperature	xi	ar_xviii	wavelength	opacity
0.524608492851	-1.19678711891	ar_xviii	3.7311	0.0	
0.524608492851	-1.15662646294	ar_xviii	3.7311	0.0	
0.524608492851	-1.11646580696	ar_xviii	3.7311	0.0	
0.524608492851	-1.0763052702	ar_xviii	3.7311	0.0	
0.524608492851	-1.03614461422	ar_xviii	3.7311	0.0	
0.524608492851	-0.995983958244	ar_xviii	3.7311	0.0	
0.524608492851	-0.955823302269	ar_xviii	3.7311	0.0	
0.524608492851	-0.915662646294	ar_xviii	3.7311	0.0	
0.524608492851	-0.875501990318	ar_xviii	3.7311	0.0	
0.524608492851	-0.835341393948	ar_xviii	3.7311	0.0	
0.524608492851	-0.795180737972	ar_xviii	3.7311	0.0	
0.524608492851	-0.755020081997	ar_xviii	3.7311	0.0	
0.524608492851	-0.714859426022	ar_xviii	3.7311	0.0	
0.524608492851	-0.674698770046	ar_xviii	3.7311	0.0	
0.524608492851	-0.634538173676	ar_xviii	3.7311	0.0	
0.524608492851	-0.5943775177	ar_xviii	3.7311	0.0	
0.524608492851	-0.554216861725	ar_xviii	3.7311	0.0	
0.524608492851	-0.51405620575	ar_xviii	3.7311	0.0	
0.524608492851	-0.473895579576	ar_xviii	3.7311	0.0	
0.524608492851	-0.433734953403	ar_xviii	3.7311	0.0	
0.524608492851	-0.393574297428	ar_xviii	3.7311	0.0	
0.524608492851	-0.353413641453	ar_xviii	3.7311	0.0	
0.524608492851	-0.31325301528	ar_xviii	3.7311	0.0	
0.524608492851	-0.273092359304	ar_xviii	3.7311	0.0	
0.524608492851	-0.232931733131	ar_xviii	3.7311	0.0	
0.524608492851	-0.192771077156	ar_xviii	3.7311	0.0	
0.524608492851	-0.152610436082	ar_xviii	3.7311	0.0	
0.524608492851	-0.112449802458	ar_xviii	3.7311	0.0	
0.524608492851	-0.0722891539335	ar_xviii	3.7311	0.0	
0.524608492851	-0.0321285128593	ar_xviii	3.7311	0.0	
0.524608492851	0.00803212821484	ar_xviii	3.7311	0.0	
0.524608492851	0.048192769289	ar_xviii	3.7311	0.0	
0.524608492851	0.0883534103632	ar_xviii	3.7311	0.0	
0.524608492851	0.128514051437	ar_xviii	3.7311	0.0	
0.524608492851	0.168674692512	ar_xviii	3.7311	0.0	
0.524608492851	0.208835348487	ar_xviii	3.7311	0.0	
0.524608492851	0.248995989561	ar_xviii	3.7311	0.0	
0.524608492851	0.289156615734	ar_xviii	3.7311	0.0	
0.524608492851	0.329317271709	ar_xviii	3.7311	0.0	
0.524608492851	0.369477897882	ar_xviii	3.7311	0.0	
0.524608492851	0.409638553858	ar_xviii	3.7311	0.0	
0.524608492851	0.449799209833	ar_xviii	3.7311	0.0	
0.524608492851	0.489959836006	ar_xviii	3.7311	0.0	
0.524608492851	0.530120491982	ar_xviii	3.7311	0.0	
0.524608492851	0.570281147957	ar_xviii	3.7311	0.0	
0.524608492851	0.610441744328	ar_xviii	3.7311	0.0	
0.524608492851	0.650602400303	ar_xviii	3.7311	0.0	
0.524608492851	0.690763056278	ar_xviii	3.7311	0.0	
0.524608492851	0.730923712254	ar_xviii	3.7311	0.0	
0.524608492851	0.771084308624	ar_xviii	3.7311	0.0	
