temperature	xi	mg_ii	wavelength	opacity
0.524608492851	5.55020093918	mg_ii	2798.75	0.0	
0.524608492851	5.59036159515	mg_ii	2798.75	0.0	
0.524608492851	5.63052225113	mg_ii	2798.75	0.0	
0.524608492851	5.6706829071	mg_ii	2798.75	0.0	
0.524608492851	5.71084356308	mg_ii	2798.75	0.0	
0.524608492851	5.75100421906	mg_ii	2798.75	0.0	
0.524608492851	5.79116487503	mg_ii	2798.75	0.0	
0.524608492851	5.83132553101	mg_ii	2798.75	0.0	
0.524608492851	5.87148571014	mg_ii	2798.75	0.0	
0.524608492851	5.91164636612	mg_ii	2798.75	0.0	
0.524608492851	5.95180702209	mg_ii	2798.75	0.0	
0.524608492851	5.99196767807	mg_ii	2798.75	0.0	
0.524608492851	6.03212833405	mg_ii	2798.75	0.0	
0.524608492851	6.07228899002	mg_ii	2798.75	0.0	
0.524608492851	6.112449646	mg_ii	2798.75	0.0	
0.524608492851	6.15261030197	mg_ii	2798.75	0.0	
0.524608492851	6.19277095795	mg_ii	2798.75	0.0	
0.524608492851	6.23293161392	mg_ii	2798.75	0.0	
0.524608492851	6.2730922699	mg_ii	2798.75	0.0	
0.524608492851	6.31325292587	mg_ii	2798.75	0.0	
0.524608492851	6.35341358185	mg_ii	2798.75	0.0	
0.524608492851	6.39357423782	mg_ii	2798.75	0.0	
0.524608492851	6.4337348938	mg_ii	2798.75	0.0	
0.524608492851	6.47389554977	mg_ii	2798.75	0.0	
