temperature	xi	s_iv	wavelength	opacity
0.524608492851	4.1044178009	s_iv	1062.66	0.0	
0.524608492851	4.14457845688	s_iv	1062.66	0.0	
0.524608492851	4.18473911285	s_iv	1062.66	0.0	
0.524608492851	4.22489976883	s_iv	1062.66	0.0	
0.524608492851	4.2650604248	s_iv	1062.66	0.0	
0.524608492851	4.30522108078	s_iv	1062.66	0.0	
0.524608492851	4.34538173676	s_iv	1062.66	0.0	
0.524608492851	4.38554239273	s_iv	1062.66	0.0	
0.524608492851	4.42570304871	s_iv	1062.66	0.0	
0.524608492851	4.46586322784	s_iv	1062.66	0.0	
0.524608492851	4.50602388382	s_iv	1062.66	0.0	
0.524608492851	4.54618453979	s_iv	1062.66	0.0	
0.524608492851	4.58634519577	s_iv	1062.66	0.0	
0.524608492851	4.62650585175	s_iv	1062.66	0.0	
0.524608492851	4.66666650772	s_iv	1062.66	0.0	
0.524608492851	4.7068271637	s_iv	1062.66	0.0	
0.524608492851	4.74698781967	s_iv	1062.66	0.0	
0.524608492851	4.78714847565	s_iv	1062.66	0.0	
0.524608492851	4.82730913162	s_iv	1062.66	0.0	
0.524608492851	4.8674697876	s_iv	1062.66	0.0	
0.524608492851	4.90763044357	s_iv	1062.66	0.0	
0.524608492851	4.94779109955	s_iv	1062.66	0.0	
0.524608492851	4.98795175552	s_iv	1062.66	0.0	
0.524608492851	5.0281124115	s_iv	1062.66	0.0	
0.524608492851	5.06827306747	s_iv	1062.66	0.0	
0.524608492851	5.10843372345	s_iv	1062.66	0.0	
0.524608492851	5.14859437943	s_iv	1062.66	0.0	
0.524608492851	5.1887550354	s_iv	1062.66	0.0	
0.524608492851	5.22891569138	s_iv	1062.66	0.0	
0.524608492851	5.26907634735	s_iv	1062.66	0.0	
0.524608492851	5.30923700333	s_iv	1062.66	0.0	
0.524608492851	5.3493976593	s_iv	1062.66	0.0	
0.524608492851	5.38955831528	s_iv	1062.66	0.0	
0.524608492851	5.42971897125	s_iv	1062.66	0.0	
0.524608492851	5.46987962723	s_iv	1062.66	0.0	
0.524608492851	5.5100402832	s_iv	1062.66	0.0	
0.524608492851	5.55020093918	s_iv	1062.66	0.0	
0.524608492851	5.59036159515	s_iv	1062.66	0.0	
0.524608492851	5.63052225113	s_iv	1062.66	0.0	
0.524608492851	5.6706829071	s_iv	1062.66	0.0	
0.524608492851	5.71084356308	s_iv	1062.66	0.0	
0.524608492851	5.75100421906	s_iv	1062.66	0.0	
0.524608492851	5.79116487503	s_iv	1062.66	0.0	
0.524608492851	5.83132553101	s_iv	1062.66	0.0	
0.524608492851	5.87148571014	s_iv	1062.66	0.0	
0.524608492851	5.91164636612	s_iv	1062.66	0.0	
0.524608492851	5.95180702209	s_iv	1062.66	0.0	
0.524608492851	5.99196767807	s_iv	1062.66	0.0	
0.524608492851	6.03212833405	s_iv	1062.66	0.0	
0.524608492851	6.07228899002	s_iv	1062.66	0.0	
0.524608492851	6.112449646	s_iv	1062.66	0.0	
0.524608492851	6.15261030197	s_iv	1062.66	0.0	
0.524608492851	6.19277095795	s_iv	1062.66	0.0	
0.524608492851	6.23293161392	s_iv	1062.66	0.0	
0.524608492851	6.2730922699	s_iv	1062.66	0.0	
0.524608492851	6.31325292587	s_iv	1062.66	0.0	
0.524608492851	6.35341358185	s_iv	1062.66	0.0	
0.524608492851	6.39357423782	s_iv	1062.66	0.0	
0.524608492851	6.4337348938	s_iv	1062.66	0.0	
0.524608492851	6.47389554977	s_iv	1062.66	0.0	
0.524608492851	6.51405620575	s_iv	1062.66	0.0	
0.524608492851	6.55421686172	s_iv	1062.66	0.0	
0.524608492851	6.5943775177	s_iv	1062.66	0.0	
0.524608492851	6.63453817368	s_iv	1062.66	0.0	
0.524608492851	6.67469882965	s_iv	1062.66	0.0	
0.524608492851	6.71485948563	s_iv	1062.66	0.0	
0.524608492851	6.7550201416	s_iv	1062.66	0.0	
0.524608492851	6.79518079758	s_iv	1062.66	0.0	
0.524608492851	6.83534145355	s_iv	1062.66	0.0	
0.524608492851	6.87550210953	s_iv	1062.66	0.0	
0.524608492851	6.9156627655	s_iv	1062.66	0.0	
