# Athena++ data at time=6.210000e+12  cycle=517210469  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
322 1.66566e+18 3.07296e-21 7.77441e-07 1.13441e+07 0.385025 0 
323 1.66769e+18 3.0367e-21 7.73498e-07 1.14514e+07 0.385284 0 
324 1.66973e+18 3.00123e-21 7.69566e-07 1.15585e+07 0.38554 0 
325 1.67177e+18 2.9666e-21 7.65673e-07 1.1665e+07 0.385794 0 
326 1.67381e+18 2.93277e-21 7.61812e-07 1.17708e+07 0.386045 0 
327 1.67584e+18 2.89972e-21 7.57984e-07 1.1876e+07 0.386294 0 
328 1.67788e+18 2.86743e-21 7.54191e-07 1.19806e+07 0.38654 0 
329 1.67992e+18 2.83588e-21 7.5043e-07 1.20845e+07 0.386784 0 
330 1.68196e+18 2.80504e-21 7.46703e-07 1.21878e+07 0.387025 0 
331 1.68399e+18 2.77489e-21 7.43009e-07 1.22904e+07 0.387264 0 
332 1.68603e+18 2.74541e-21 7.39349e-07 1.23924e+07 0.387501 0 
333 1.68807e+18 2.71658e-21 7.35722e-07 1.24937e+07 0.387735 0 
334 1.69011e+18 2.68838e-21 7.32128e-07 1.25944e+07 0.387967 0 
335 1.69214e+18 2.66078e-21 7.28567e-07 1.26944e+07 0.388197 0 
336 1.69418e+18 2.6338e-21 7.25038e-07 1.27936e+07 0.388424 0 
337 1.69622e+18 2.60737e-21 7.21547e-07 1.28922e+07 0.388649 0 
338 1.69826e+18 2.58144e-21 7.18074e-07 1.29905e+07 0.388872 0 
339 1.70029e+18 2.55599e-21 7.14624e-07 1.30884e+07 0.389093 0 
340 1.70233e+18 2.53102e-21 7.11196e-07 1.3186e+07 0.389312 0 
341 1.70437e+18 2.5065e-21 7.07791e-07 1.32831e+07 0.389528 0 
342 1.70641e+18 2.48244e-21 7.04408e-07 1.33799e+07 0.389742 0 
343 1.70844e+18 2.45882e-21 7.01049e-07 1.34762e+07 0.389955 0 
344 1.71048e+18 2.43562e-21 6.97712e-07 1.35722e+07 0.390165 0 
345 1.71252e+18 2.41284e-21 6.94399e-07 1.36677e+07 0.390372 0 
346 1.71456e+18 2.39047e-21 6.91108e-07 1.37628e+07 0.390578 0 
347 1.71659e+18 2.36851e-21 6.87841e-07 1.38575e+07 0.390782 0 
348 1.71863e+18 2.34693e-21 6.84596e-07 1.39518e+07 0.390984 0 
349 1.72067e+18 2.32573e-21 6.81375e-07 1.40457e+07 0.391183 0 
350 1.72271e+18 2.3049e-21 6.78176e-07 1.41391e+07 0.391381 0 
351 1.72474e+18 2.28443e-21 6.75001e-07 1.42321e+07 0.391577 0 
352 1.72678e+18 2.26432e-21 6.71849e-07 1.43246e+07 0.39177 0 
353 1.72882e+18 2.24455e-21 6.6872e-07 1.44168e+07 0.391962 0 
354 1.73086e+18 2.22512e-21 6.65613e-07 1.45084e+07 0.392152 0 
355 1.73289e+18 2.20603e-21 6.6253e-07 1.45996e+07 0.392339 0 
356 1.73493e+18 2.18725e-21 6.5947e-07 1.46904e+07 0.392525 0 
